# Von situs verfasste deutsche Namen für EUNIS-Habitattypen der Level 1 bis 3.
#
# Diese Datei ist die Quelle für alle Zeilen mit provenance=situs: hier steht,
# was situs selbst übersetzt hat, und keine externe Quelle steht dahinter.
# pipelines/eurlex/merge.py führt sie mit den amtlichen EUR-Lex-Zeilen zu einer
# localizations.csv zusammen und setzt source auf situs@<version>.
#
# EINE ZEILE JE HABITATTYP, mit dem englischen Original daneben: nur so ist eine
# Übersetzung ohne Index-Abfrage prüfbar. name_en ist eine Kontrollspalte und
# wandert NICHT in den Index; die Zusammenführung verwirft sie.
#
# name_de   — treu am englischen Original, biogeografische Zusätze mitübersetzt.
#             Wer beide nebeneinander legt, muss die Zuordnung ohne Fachwissen
#             bestätigen können.
# vernacular_de — der etablierte deutsche Begriff. LEER, wo keiner denselben
#             Umfang trägt. Das ist überwiegend dort der Fall, wo der Typ in
#             Deutschland nicht vorkommt: für mediterrane, makaronesische und
#             Schwarzmeer-Varianten gibt es keinen etablierten deutschen
#             Begriff, weil sie im Deutschen nie benannt werden. Ein Begriff,
#             der weiter reicht als der Typ, ist eine falsche Gleichsetzung und
#             bleibt weg.
#
# EUNIS-Level 1 bis 3, und nur Typen OHNE '='-Crosswalk nach annex1 — wo eine
# Ableitung aus dem amtlichen Anhang-I-Namen existiert, wird nichts erfunden.
# Level 1 und 2 haben gar keinen '='-Crosswalk (gemessen: keiner der 49 Codes),
# und die Ableitung erreicht sie auch nicht — ohne diese Zeilen bliebe ein
# Gruppenknopf in der App auf Dauer englisch.
#
# Auf Level 1 und 2 steht vernacular_de nur dort, wo der etablierte Begriff
# denselben Umfang trägt UND ihn nicht schon ein Untertyp führt: 'Hochmoor'
# gehört Q11, deshalb bleibt Q1 ('Hoch- und Deckenmoore') ohne Volksnamen. Ein
# Volksname, der auf zwei Ebenen dasselbe meint, macht die Rückwärtssuche
# mehrdeutig.
#
# Gruppen in EUNIS-Reihenfolge: N Küste, Q Moore/Sümpfe, R Grasland,
# S Gebüsch/Heide, T Wald, U Fels/Geröll, V Kulturland. Je Gruppe zuerst der
# Level-1-Code, dann die Level-2-Codes, dann die Level-3-Codes.
code,name_en,name_de,vernacular_de
N31,"Atlantic and Baltic rocky sea cliff and shore","Atlantische und baltische Felsküste und Felsufer",Felsküste
N32,"Mediterranean and Black Sea rocky sea cliff and shore","Mediterrane und Schwarzmeer-Felsküste und Felsufer",
N34,"Atlantic and Baltic soft sea cliff","Atlantisches und baltisches Kliff in weichem Substrat",Kliff
N35,"Mediterranean and Black Sea soft sea cliff","Mediterranes und Schwarzmeer-Kliff in weichem Substrat",
# --- Q — Moore, Sümpfe, Röhrichte (26) ---
Q,"Wetlands","Feuchtgebiete",
Q1,"Raised and blanket bogs","Hoch- und Deckenmoore",
Q2,"Valley mires, poor fens and transition mires","Talmoore, sauerarme Niedermoore und Übergangsmoore",
Q3,"Palsa mires","Palsamoore",Palsamoor
Q4,"Base-rich fens and calcareous spring mires","Basenreiche Niedermoore und Kalk-Quellmoore",
Q5,"Helophyte beds","Sumpfpflanzenbestände",
Q6,"Periodically exposed shores","Zeitweilig trockenfallende Ufer",
Q11,"Raised bog","Hochmoor",Hochmoor
Q13,"Ombrotrophic percolation mire","Ombrotrophes Durchströmungsmoor",
Q21,"Oceanic valley mire","Ozeanisches Talmoor",
Q22,"Poor fen","Sauerarmes Niedermoor",
Q23,"Relict mire of Mediterranean mountains","Reliktmoor der mediterranen Gebirge",
Q24,"Intermediate fen and soft-water spring mire","Übergangsmoor und Weichwasser-Quellmoor",Übergangsmoor
Q25,"Non-calcareous quaking mire","Kalkarmes Schwingmoor",
Q41,"Alkaline, calcareous, carbonate-rich small-sedge spring fen","Alkalisches, kalk- und karbonatreiches Kleinseggen-Quellmoor",Kalk-Kleinseggenried
Q42,"Extremely rich moss-sedge fen","Außerordentlich basenreiches Moos-Seggen-Ried",
Q43,"Tall-sedge base-rich fen","Basenreiches Großseggen-Niedermoor",
Q44,"Calcareous quaking mire","Kalk-Schwingmoor",
Q46,"Carpathian travertine fen with halophytes","Karpatisches Kalktuff-Niedermoor mit Salzpflanzen",
Q51,"Tall-helophyte bed","Bestand hochwüchsiger Sumpfpflanzen",Röhricht
Q52,"Small-helophyte bed","Bestand niederwüchsiger Sumpfpflanzen",Kleinröhricht
Q53,"Tall-sedge bed","Großseggen-Bestand",Großseggenried
Q54,"Inland saline or brackish helophyte bed","Binnenländischer Salz- oder Brackwasser-Sumpfpflanzenbestand",
Q61,"Periodically exposed shore with stable, eutrophic sediments with pioneer or ephemeral vegetation","Zeitweilig trockenfallendes Ufer mit stabilen, eutrophen Sedimenten und Pionier- oder ephemerer Vegetation",
Q62,"Periodically exposed shore with stable, mesotrophic sediments with pioneer or ephemeral vegetation","Zeitweilig trockenfallendes Ufer mit stabilen, mesotrophen Sedimenten und Pionier- oder ephemerer Vegetation",
Q63,"Periodically exposed saline shore with pioneer or ephemeral vegetation","Zeitweilig trockenfallendes Salzufer mit Pionier- oder ephemerer Vegetation",
# --- R — Grasland, Säume, Steppen (61) ---
R,"Grasslands and lands dominated by forbs, mosses or lichens","Grasland und von Kräutern, Moosen oder Flechten beherrschte Flächen",
R1,"Dry grasslands","Trockenrasen",Trockenrasen
R2,"Mesic grasslands","Frisches Grasland",Frischgrünland
R3,"Seasonally wet and wet grasslands","Wechselfeuchtes und nasses Grasland",Feuchtgrünland
R4,"Alpine and subalpine grasslands","Alpines und subalpines Grasland",Alpiner Rasen
R5,"Forest fringes and clearings and tall forb stands","Waldsäume, Waldschläge und Hochstaudenfluren",
R6,"Inland salt steppes and salt marshes","Binnenland-Salzsteppen und Salzwiesen",
R7,"Sparsely wooded grasslands","Locker bewaldetes Grasland",
R11,"Pannonian and Pontic sandy steppe","Pannonische und pontische Sandsteppe",
R12,"Cryptogam- and annual-dominated vegetation on siliceous rock outcrops","Kryptogamen- und annuellenreiche Vegetation auf Silikatfelskuppen",
R13,"Cryptogam- and annual-dominated vegetation on calcareous and ultramafic rock outcrops","Kryptogamen- und annuellenreiche Vegetation auf Kalk- und Ultrabasitfelskuppen",
R14,"Perennial rocky grassland of the Italian Peninsula","Ausdauernder Felsrasen der Apenninenhalbinsel",
R15,"Continental dry rocky steppic grassland and dwarf scrub on chalk outcrops","Kontinentaler trockener Felssteppenrasen und Zwergstrauchflur auf Kreidefels",
R16,"Perennial rocky grassland of Central and South-Eastern Europe","Ausdauernder Felsrasen Mittel- und Südosteuropas",
R17,"Heavy-metal dry grassland of the Balkans","Schwermetall-Trockenrasen des Balkans",
R18,"Perennial rocky calcareous grassland of subatlantic-submediterranean Europe","Ausdauernder Kalk-Felsrasen des subatlantisch-submediterranen Europas",
R19,"Dry steppic submediterranean pasture of the Amphi-Adriatic region","Trockene submediterrane Steppenweide des amphiadriatischen Raums",
R1A,"Semi-dry perennial calcareous grassland (meadow steppe)","Ausdauernder Kalk-Halbtrockenrasen (Wiesensteppe)",Kalk-Halbtrockenrasen
R1B,"Continental dry grassland (true steppe)","Kontinentaler Trockenrasen (echte Steppe)",
R1C,"Desert steppe","Wüstensteppe",
R1D,"Mediterranean closely grazed dry grassland","Mediterraner kurzrasig beweideter Trockenrasen",
R1E,"Mediterranean tall perennial dry grassland","Mediterraner hochwüchsiger ausdauernder Trockenrasen",
R1F,"Mediterranean annual-rich dry grassland","Mediterraner annuellenreicher Trockenrasen",
R1H,"Iberian oromediterranean basiphilous dry grassland","Iberischer oromediterraner basiphiler Trockenrasen",
R1J,"Cyrno-Sardean oromediterranean siliceous dry grassland","Korsisch-sardischer oromediterraner Silikat-Trockenrasen",
R1K,"Balkan and Anatolian oromediterranean dry grassland","Balkanischer und anatolischer oromediterraner Trockenrasen",
R1L,"Madeiran oromediterranean siliceous dry grassland","Madeirischer oromediterraner Silikat-Trockenrasen",
R1M,"Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta","Tief- bis hochmontaner trockener bis frischer Rasen, meist von Nardus stricta beherrscht",Borstgrasrasen
R1N,"Open Iberian supramediterranean dry acid and neutral grassland","Offener iberischer supramediterraner trockener saurer und neutraler Rasen",
R1P,"Oceanic to subcontinental inland sand grassland on dry acid and neutral soils","Ozeanischer bis subkontinentaler Binnenland-Sandrasen auf trockenen sauren und neutralen Böden",Sandtrockenrasen
R1Q,"Inland sanddrift and dune with siliceous grassland","Binnenland-Sandtriebe und -dünen mit Silikatrasen",Binnendüne
R1R,"Mediterranean to Atlantic open, dry, acid and neutral grassland","Mediterran-atlantischer offener, trockener, saurer und neutraler Rasen",
R1S,"Heavy-metal grassland in Western and Central Europe","Schwermetallrasen West- und Mitteleuropas",Schwermetallrasen
R21,"Mesic permanent pasture of lowlands and mountains","Frische Dauerweide der Tief- und Berglagen",Fettweide
R22,"Low and medium altitude hay meadow","Mähwiese der Tief- und mittleren Lagen",
R24,"Iberian summer pasture (vallicar)","Iberische Sommerweide (Vallicar)",
R31,"Mediterranean tall humid inland grassland","Mediterraner hochwüchsiger feuchter Binnenlandrasen",
R32,"Mediterranean short moist grassland of lowlands","Mediterraner kurzrasiger Feuchtrasen der Tieflagen",
R33,"Mediterranean short moist grassland of mountains","Mediterraner kurzrasiger Feuchtrasen der Gebirge",
R34,"Submediterranean moist meadow","Submediterrane Feuchtwiese",
R35,"Moist or wet mesotrophic to eutrophic hay meadow","Feuchte bis nasse mesotrophe bis eutrophe Mähwiese",Feuchtwiese
R36,"Moist or wet mesotrophic to eutrophic pasture","Feuchte bis nasse mesotrophe bis eutrophe Weide",Feuchtweide
R41,"Snow-bed vegetation","Schneebodenvegetation",Schneetälchen
R42,"Boreal and arctic acidophilous alpine grassland","Borealer und arktischer säureliebender alpiner Rasen",
R43,"Temperate acidophilous alpine grassland","Temperater säureliebender alpiner Rasen",Krummseggenrasen
R44,"Arctic-alpine calcareous grassland","Arktisch-alpiner Kalkrasen",
R45,"Alpine and subalpine calcareous grassland of the Balkans and Apennines","Alpiner und subalpiner Kalkrasen des Balkans und der Apenninen",
R51,"Thermophilous forest fringe of base-rich soils","Wärmeliebender Waldsaum basenreicher Böden",
R52,"Forest fringe of acidic nutrient-poor soils","Waldsaum saurer, nährstoffarmer Böden",
R53,"Macaronesian thermophilous forest fringe","Makaronesischer wärmeliebender Waldsaum",
R54,"Pteridium aquilinum vegetation","Adlerfarn-Vegetation",Adlerfarnflur
R55,"Lowland moist or wet tall-herb and fern fringe","Feuchter bis nasser Hochstauden- und Farnsaum der Tieflagen",Feuchte Hochstaudenflur
R56,"Montane to subalpine moist or wet tall-herb and fern fringe","Feuchter bis nasser Hochstauden- und Farnsaum der montanen bis subalpinen Lagen",Subalpine Hochstaudenflur
R57,"Herbaceous forest clearing vegetation","Krautige Waldschlag-Vegetation",Schlagflur
R62,"Continental inland salt steppe","Kontinentale Binnenland-Salzsteppe",
R63,"Temperate inland salt marsh","Temperate Binnenland-Salzwiese",Binnensalzstelle
R64,"Semi-desert salt pan","Halbwüsten-Salzpfanne",
R65,"Continental subsaline alluvial pasture and meadow","Kontinentale subsaline Auenweide und -wiese",
R71,"Temperate wooded pasture and meadow","Temperate Weide und Wiese mit Baumbestand",Hutewald
R72,"Hemiboreal and boreal wooded pasture and meadow","Hemiboreale und boreale Weide und Wiese mit Baumbestand",
R73,"Mediterranean wooded pasture and meadow","Mediterrane Weide und Wiese mit Baumbestand",
# --- S — Gebüsch, Zwergstrauchheide, Macchie (48) ---
S,"Heathland, scrub and tundra","Zwergstrauchheiden, Gebüsche und Tundra",
S1,"Tundra","Tundra",Tundra
S2,"Arctic, alpine and subalpine scrub","Arktisches, alpines und subalpines Gebüsch",
S3,"Temperate and mediterranean-montane scrub","Temperates und mediterran-montanes Gebüsch",
S4,"Temperate shrub heathland","Temperate Zwergstrauchheide",Zwergstrauchheide
S5,"Maquis, arborescent matorral and thermo-Mediterranean scrub","Macchie, baumförmiges Matorral und thermomediterranes Gebüsch",
S6,"Garrigue","Garigue",Garigue
S7,"Spiny Mediterranean heaths (phrygana, hedgehog-heaths and related coastal cliff vegetation)","Dornige mediterrane Heiden (Phrygana, Igelpolsterheiden und verwandte Küstenfelsvegetation)",Phrygana
S8,"Thermo-Atlantic xerophytic scrub","Thermoatlantisches xerophytisches Gebüsch",
S9,"Riverine and fen scrubs","Ufer- und Niedermoorgebüsche",
S11,"Shrub tundra","Strauchtundra",
S12,"Moss and lichen tundra","Moos- und Flechtentundra",
S21,"Subarctic and alpine dwarf Salix scrub","Subarktisches und alpines Zwergweiden-Gebüsch",Zwergweiden-Gebüsch
S22,"Alpine and subalpine ericoid heath","Alpine und subalpine Zwergstrauchheide",Alpine Zwergstrauchheide
S23,"Alpine and subalpine Juniperus scrub","Alpines und subalpines Wacholder-Gebüsch",Latschen-Wacholder-Gebüsch
S24,"Subalpine genistoid scrub of the Amphi-Adriatic region","Subalpines Ginster-Gebüsch des amphiadriatischen Raums",
S25,"Subalpine and subarctic deciduous scrub","Subalpines und subarktisches Laubgebüsch",Grünerlen-Gebüsch
S27,"Krummholz with conifers other than Pinus mugo","Krummholz mit Nadelbäumen außer Pinus mugo",
S32,"Temperate Rubus scrub","Temperates Brombeer-Gebüsch",Brombeergebüsch
S33,"Lowland to montane temperate and submediterranean genistoid scrub","Tief- bis montanes temperates und submediterranes Ginster-Gebüsch",Ginsterheide
S34,"Balkan-Anatolian submontane genistoid scrub","Balkanisch-anatolisches submontanes Ginster-Gebüsch",
S35,"Temperate and submediterranean thorn scrub","Temperates und submediterranes Dorngebüsch",Schlehen-Gebüsch
S36,"Low steppic scrub","Niedriges Steppengebüsch",
S37,"Corylus avellana scrub","Hasel-Gebüsch",Haselgebüsch
S38,"Temperate forest clearing scrub","Temperates Waldschlag-Gebüsch",Vorwald
S41,"Wet heath","Feuchtheide",Feuchtheide
S42,"Dry heath","Trockenheide",Trockenheide
S51,"Mediterranean maquis and arborescent matorral","Mediterrane Macchie und baumförmiges Matorral",
S52,"Submediterranean pseudomaquis","Submediterrane Pseudomacchie",
S53,"Spartium junceum scrub","Binsen-Ginster-Gebüsch",
S54,"Thermomediterranean arid scrub","Thermomediterranes Trockengebüsch",
S61,"Western basiphilous garrigue","Westliche basiphile Garigue",
S62,"Western acidophilous garrigue","Westliche säureliebende Garigue",
S63,"Eastern garrigue","Östliche Garigue",
S64,"Macaronesian garrigue","Makaronesische Garigue",
S67,"Aralo-Caspian semi-desert","Aralo-kaspische Halbwüste",
S68,"Semi-desert sand dune with sparse scrub","Halbwüsten-Sanddüne mit lückigem Gebüsch",
S71,"Western Mediterranean spiny heath","Westmediterrane Dornheide",
S72,"Eastern Mediterranean spiny heath (phrygana)","Ostmediterrane Dornheide (Phrygana)",
S73,"Western Mediterranean mountain hedgehog-heath","Westmediterrane Igelpolsterheide der Gebirge",
S74,"Central Mediterranean mountain hedgehog-heath","Zentralmediterrane Igelpolsterheide der Gebirge",
S75,"Eastern Mediterranean mountain hedgehog-heath","Ostmediterrane Igelpolsterheide der Gebirge",
S76,"Canarian mountain hedgehog-heath","Kanarische Igelpolsterheide der Gebirge",
S81,"Canarian xerophytic scrub","Kanarisches xerophytisches Gebüsch",
S82,"Madeiran xerophytic scrub","Madeirisches xerophytisches Gebüsch",
S91,"Temperate riparian scrub","Temperates Ufergebüsch",Weiden-Ufergebüsch
S92,"Salix fen scrub","Weiden-Moorgebüsch",Weidenbruch
S94,"Semi-desert riparian scrub","Halbwüsten-Ufergebüsch",
# --- T — Wald und Gehölzbestände (51) ---
T,"Forest and other wooded land","Wald und sonstige Gehölzflächen",
T1,"Deciduous broadleaved forest","Sommergrüner Laubwald",Laubwald
T2,"Broadleaved evergreen forest","Immergrüner Laubwald",
T3,"Coniferous forest","Nadelwald",Nadelwald
T4,"Lines of trees, small anthropogenic forests, recently felled forest, early-stage forest and coppice","Baumreihen, kleine anthropogene Wälder, kürzlich geschlagener Wald, Wald früher Entwicklungsstadien und Niederwald",
T11,"Temperate Salix and Populus riparian forest","Temperater Weiden- und Pappel-Auwald",Weichholzaue
T12,"Alnus glutinosa-Alnus incana forest on riparian and mineral soils","Schwarz- und Grauerlenwald auf Auen- und Mineralböden",Erlen-Auwald
T14,"Mediterranean and Macaronesian riparian forest","Mediterraner und makaronesischer Auwald",
T15,"Broadleaved swamp forest on non-acid peat","Laub-Sumpfwald auf basenreichem Torf",Erlenbruchwald
T16,"Broadleaved mire forest on acid peat","Laub-Moorwald auf saurem Torf",Birken-Moorwald
T17,"Fagus forest on non-acid soils","Buchenwald basenreicher Böden",Kalk-Buchenwald
T18,"Fagus forest on acid soils","Buchenwald saurer Böden",Hainsimsen-Buchenwald
T19,"Temperate and submediterranean thermophilous deciduous forest","Temperater und submediterraner wärmeliebender Laubwald",Wärmeliebender Eichenwald
T1B,"Acidophilous Quercus forest","Säureliebender Eichenwald",Eichen-Birkenwald
T1C,"Temperate and boreal mountain Betula and Populus tremula forest on mineral soils","Temperater und borealer Birken- und Aspenwald der Gebirge auf Mineralböden",
T1D,"Southern European mountain Betula and Populus tremula forest on mineral soils","Südeuropäischer Birken- und Aspenwald der Gebirge auf Mineralböden",
T1E,"Carpinus and Quercus mesic deciduous forest","Frischer Hainbuchen- und Eichen-Laubwald",Eichen-Hainbuchenwald
T1G,"Alnus cordata forest","Herzblättriger-Erlen-Wald",
T1H,"Broadleaved deciduous plantation of non site-native trees","Laubholzforst mit gebietsfremden Baumarten",
T1J,"Deciduous self sown forest of non site-native trees","Spontan aufgewachsener Laubwald gebietsfremder Baumarten",
T1K,"Broadleaved deciduous plantation of site-native trees","Laubholzforst mit gebietsheimischen Baumarten",
T21,"Mediterranean evergreen Quercus forest","Mediterraner immergrüner Eichenwald",
T22,"Mainland laurophyllous forest","Lorbeerwald des Festlands",
T23,"Macaronesian laurophyllous forest","Makaronesischer Lorbeerwald",
T25,"Phoenix theophrasti vegetation","Kretische-Dattelpalmen-Vegetation",
T26,"Phoenix canariensis vegetation","Kanarische-Dattelpalmen-Vegetation",
T27,"Ilex aquifolium forest","Stechpalmen-Wald",
T28,"Macaronesian heathy forest","Makaronesischer Heidewald",
T29,"Broadleaved evergreen plantation of non site-native trees","Immergrüner Laubholzforst mit gebietsfremden Baumarten",
T2A,"Broadleaved evergreen plantation of site-native trees","Immergrüner Laubholzforst mit gebietsheimischen Baumarten",
T32,"Temperate mountain Abies forest","Temperater Tannenwald der Gebirge",Tannenwald
T33,"Mediterranean mountain Abies forest","Mediterraner Tannenwald der Gebirge",
T34,"Temperate subalpine Larix, Pinus cembra and Pinus uncinata forest","Temperater subalpiner Lärchen-, Zirben- und Hakenkiefernwald",Lärchen-Zirbenwald
T35,"Temperate continental Pinus sylvestris forest","Temperater kontinentaler Kiefernwald",
T36,"Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest","Temperater und submediterraner montaner Kiefern- und Schwarzkiefernwald",
T37,"Mediterranean montane Pinus sylvestris-Pinus nigra forest","Mediterraner montaner Kiefern- und Schwarzkiefernwald",
T3A,"Mediterranean lowland to submontane Pinus forest","Mediterraner Kiefernwald der Tief- bis submontanen Lagen",
T3C,"Taxus baccata forest","Eiben-Wald",Eibenwald
T3D,"Mediterranean Cupressaceae forest","Mediterraner Zypressengewächse-Wald",
T3E,"Macaronesian Juniperus forest","Makaronesischer Wacholderwald",
T3F,"Dark taiga","Dunkle Taiga",
T3G,"Pinus sylvestris light taiga","Kiefern-Helltaiga",
T3H,"Larix light taiga","Lärchen-Helltaiga",
T3J,"Pinus and Larix mire forest","Kiefern- und Lärchen-Moorwald",Kiefern-Moorwald
T3K,"Picea mire forest","Fichten-Moorwald",Fichten-Moorwald
T3L,"Coniferous self sown forest of non site-native trees","Spontan aufgewachsener Nadelwald gebietsfremder Baumarten",
T3M,"Coniferous plantation of non site-native trees","Nadelholzforst mit gebietsfremden Baumarten",
T3N,"Coniferous plantation of site-native trees","Nadelholzforst mit gebietsheimischen Baumarten",
T41,"Early-stage natural and semi-natural forest and regrowth","Naturnaher Wald früher Entwicklungsstadien und Wiederaufwuchs",Pionierwald
T42,"Coppice and early stage plantations","Niederwald und Forste früher Entwicklungsstadien",Niederwald
T43,"Recently felled areas","Kürzlich geschlagene Flächen",Kahlschlag
# --- U — Fels, Geröll, Schutt, Eis, Höhlen (41) ---
U,"Inland habitats with no or little soil and mostly with sparse vegetation","Binnenland-Lebensräume ohne oder mit wenig Boden und meist mit lückiger Vegetation",
U1,"Terrestrial underground caves, cave systems, passages and waterbodies","Terrestrische unterirdische Höhlen, Höhlensysteme, Gänge und Gewässer",
U2,"Screes","Schutthalden",Schutthalde
U3,"Inland cliffs, rock pavements and outcrops","Felswände, Felsplatten und Felskuppen des Binnenlands",Felsflur
U4,"Snow or ice-dominated habitats","Von Schnee oder Eis beherrschte Lebensräume",
U5,"Miscellaneous inland habitats usually with very sparse or no vegetation","Sonstige Binnenland-Lebensräume, meist mit sehr lückiger oder fehlender Vegetation",
U6,"Recent volcanic features","Junge Vulkanbildungen",
U7,"Unvegetated or sparsely vegetated gravel bars","Vegetationsfreie oder lückig bewachsene Kiesbänke",Kiesbank
U11,"Cave","Höhle",Höhle
U12,"Disused underground mines and tunnels","Aufgelassene Bergwerke und Tunnel unter Tage",Stollen
U21,"Boreal and arctic siliceous scree and block field","Boreale und arktische Silikatschutthalde und Blockfeld",
U22,"Temperate high-mountain siliceous scree","Temperate Silikatschutthalde der Hochgebirge",Silikatschutthalde
U24,"Mediterranean siliceous scree","Mediterrane Silikatschutthalde",
U25,"Boreal and arctic base-rich scree and block field","Boreale und arktische basenreiche Schutthalde und Blockfeld",
U26,"Temperate high-mountain base-rich scree and moraine","Temperate basenreiche Schutthalde und Moräne der Hochgebirge",Kalkschutthalde
U28,"Western Mediterranean base-rich scree","Westmediterrane basenreiche Schutthalde",
U29,"Eastern Mediterranean base-rich scree","Ostmediterrane basenreiche Schutthalde",
U2A,"Crimean base-rich screes","Krimische basenreiche Schutthalden",
U31,"Boreal and arctic siliceous inland cliff","Boreale und arktische Silikatfelswand des Binnenlands",
U32,"Temperate high-mountain siliceous inland cliff","Temperate Silikatfelswand der Hochgebirge",
U33,"Temperate, lowland to montane siliceous inland cliff","Temperate Silikatfelswand der Tief- bis montanen Lagen",Silikatfelsflur
U34,"Mediterranean siliceous inland cliff","Mediterrane Silikatfelswand des Binnenlands",
U35,"Boreal and arctic base-rich inland cliff","Boreale und arktische basenreiche Felswand des Binnenlands",
U36,"Temperate high-mountain base-rich inland cliff","Temperate basenreiche Felswand der Hochgebirge",
U37,"Temperate, lowland to montane base-rich inland cliff","Temperate basenreiche Felswand der Tief- bis montanen Lagen",Kalkfelsflur
U38,"Mediterranean base-rich inland cliff","Mediterrane basenreiche Felswand des Binnenlands",
U39,"Boreal ultramafic inland cliff","Boreale Ultrabasit-Felswand des Binnenlands",
U3A,"Temperate ultramafic inland cliff","Temperate Ultrabasit-Felswand des Binnenlands",Serpentinit-Felsflur
U3B,"Mediterranean ultramafic inland cliff","Mediterrane Ultrabasit-Felswand des Binnenlands",
U3C,"Macaronesian inland cliff","Makaronesische Felswand des Binnenlands",
U3D,"Wet inland cliff","Feuchte Felswand des Binnenlands",Sickerfelsen
U41,"Snow pack","Schneefeld",Schneefeld
U42,"Ice cap and glacier","Eiskappe und Gletscher",Gletscher
U43,"Rock glacier and unvegetated ice-dominated moraine","Blockgletscher und vegetationsfreie eisreiche Moräne",Blockgletscher
